label,HK1_drl,HK2_drl,HK3_drl,HK4_drl,HK5_drl,HK6_drl,HK7_drl,HK8_drl,HK9_drl,HK10_drl,HK11_drl,HK12_drl,HK1_dtbhk,HK2_dtbhk,HK3_dtbhk,HK4_dtbhk,HK5_dtbhk,HK6_dtbhk,HK7_dtbhk,HK8_dtbhk,HK9_dtbhk,HK10_dtbhk,HK11_dtbhk,HK12_dtbhk,HK1_sotchk,HK2_sotchk,HK3_sotchk,HK4_sotchk,HK5_sotchk,HK6_sotchk,HK7_sotchk,HK8_sotchk,HK9_sotchk,HK10_sotchk,HK11_sotchk,HK12_sotchk,pass_avsc,CCHV_1,CCHV_2,CCHV_3,CCHV_4,CCHV_5,CCHV_6
0,69.0,78.0,85.0,85.0,86.0,95.0,96.0,,,,,,8.75,7.92,8.63,8.49,8.77,8.73,8.925,,,,,,19.0,21.0,24.0,19.0,15.0,16.0,10.5,,,,,,True,,,,,,
0,89.0,82.0,70.0,80.0,80.0,80.0,86.0,,,,,,7.54,6.7,8.34,7.31,7.58,7.89,8.74,,,,,,17.0,21.0,22.0,19.0,19.0,16.0,18.0,,,,,,,,,,,,
0,62.0,67.0,75.0,50.0,77.0,43.0,66.0,,66.0,58.0,,,5.64,5.31,6.925,5.74,6.7,7.43,8.025,,,,,,22.0,18.0,13.5,18.0,25.0,16.0,9.5,,,,,,,,,,,,
1,85.0,66.0,56.0,38.0,,,,,,,,,7.39,4.1,3.84,1.05,,,,,,,,,13.0,21.0,27.0,26.0,,,,,,,,,,,,,,,
0,100.0,100.0,87.0,100.0,100.0,90.0,100.0,,,,,,7.95,7.86,7.91,6.36,8.11,7.33,7.63,,,,,,19.0,19.0,26.0,20.0,19.0,16.0,19.0,,,,,,,,,,,,
0,75.0,78.0,89.0,75.0,64.0,81.0,80.0,,,,,,5.65,5.66,7.234999999999999,7.34,8.09,7.05,7.43,,,,,,17.0,24.0,15.0,23.0,19.0,21.0,16.0,,,,,,,,,,,,
1,93.0,93.0,89.0,82.0,78.0,74.0,76.0,75.0,,75.0,50.0,50.0,6.97,7.28,7.23,7.94,7.47,6.79,6.96,7.53,,,,,17.0,24.0,25.0,15.0,23.0,23.0,20.0,14.0,,,,,,,,,,,
1,80.0,75.0,75.0,,,,,,,,,,6.61,5.51,1.69,,,,,,,,,,17.0,23.0,21.0,,,,,,,,,,True,,,,,,
1,61.0,53.0,23.0,59.0,75.0,38.0,71.0,50.0,,65.0,,,3.58,2.21,6.390000000000001,3.4,6.470000000000001,4.77,4.87,0.0,,,,,13.0,18.0,10.0,22.0,14.5,24.0,23.0,13.0,,,,,,Bị cảnh cáo vì đóng học phí trễ,,Bị cảnh cáo vì ĐTB và trễ học phí,,,
1,77.0,72.0,85.0,77.0,64.0,71.0,67.0,67.0,,70.0,,,7.12,7.77,8.42,6.55,7.32,6.25,5.41,5.74,,,,,17.0,19.0,21.0,22.0,21.0,16.0,19.0,7.0,,,,,,,,,,,
0,82.0,83.0,80.0,90.0,90.0,80.0,100.0,74.0,,,,,8.2,7.53,7.91,9.25,6.33,8.42,7.92,7.88,,,,,19.0,21.0,24.0,15.0,14.0,19.0,17.0,16.0,,,,,True,,,,,,
1,65.0,69.0,80.0,78.0,75.0,77.0,68.0,,45.0,,,,4.94,4.51,4.41,5.19,4.69,5.06,3.88,,,,,,13.0,18.0,17.0,19.0,15.0,14.0,22.0,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,90.0,77.0,66.0,80.0,80.0,75.0,76.0,,,,,,8.81,7.29,7.54,7.31,7.4,7.49,7.07,,,,,,17.0,24.0,24.0,17.0,20.0,14.0,17.0,,,,,,,,,,,,
0,93.0,93.0,91.0,89.0,90.0,79.0,72.0,77.0,,,,,7.77,8.5,8.55,8.25,5.95,8.57,8.125,8.38,,,,,22.0,22.0,21.0,19.0,15.0,15.0,11.0,16.0,,,,,,,,,,,
1,62.0,60.0,80.0,80.0,70.0,,53.0,,,,,,4.46,3.95,6.19,6.21,6.7,,,,,,,,19.0,17.0,19.0,24.0,20.0,,,,,,,,True,,,,,,
0,73.0,76.0,85.0,85.0,85.0,95.0,100.0,,,,,,8.11,6.85,8.48,8.1,8.23,8.7,8.03,,,,,,17.0,19.0,23.0,22.0,23.0,20.0,15.0,,,,,,True,,,,,,
0,78.0,88.0,88.0,83.0,90.0,80.0,100.0,94.0,,,,,7.85,6.2,7.13,7.13,7.0,4.53,8.66,7.36,,,,,17.0,21.0,16.0,23.0,24.0,16.0,19.0,13.0,,,,,True,,,,,,
1,100.0,91.0,85.0,72.0,70.0,77.0,44.0,38.0,,58.0,,,7.36,5.64,7.35,7.17,6.29,6.48,5.55,3.9,,,,,18.0,21.0,24.0,25.0,18.0,14.0,16.0,9.0,,,,,,,,,,,
0,62.0,88.0,92.0,86.0,50.0,39.0,56.0,31.0,,63.0,55.0,,5.52,4.13,5.645,6.74,7.145,5.64,6.32,2.5,,,,,22.0,15.0,17.0,19.0,19.0,20.0,22.0,20.0,,,,,,,,,,,
0,88.0,95.0,100.0,92.0,91.0,93.0,78.0,,,,,,8.2,8.83,8.64,8.66,9.44,9.3,9.25,,,,,,22.0,24.0,21.0,17.0,20.0,16.0,15.0,,,,,,,,,,,,
0,93.0,91.0,90.0,76.0,94.0,71.0,70.0,80.0,,,,,5.89,7.71,7.484999999999999,7.19,7.82,8.1,7.62,8.32,,,,,22.0,21.0,16.0,15.0,15.0,15.0,13.0,10.0,,,,,,,,,,,
0,86.0,75.0,67.0,69.0,80.0,75.0,76.0,,45.0,50.0,,,6.83,7.95,8.07,6.53,8.06,8.48,8.52,,,,,,19.0,19.0,23.0,18.0,18.0,23.0,18.0,,,,,,,,,,,,
0,78.0,77.0,58.0,57.0,35.0,38.0,67.0,75.0,75.0,74.0,,,5.28,4.53,4.92,4.51,6.015,5.76,6.34,5.58,5.8,5.0,,,18.0,18.0,18.0,29.0,13.5,21.0,28.0,18.0,11.0,1.0,,,,,,,,,
0,76.0,68.0,63.0,74.0,76.0,85.0,86.0,95.0,75.0,55.0,,,7.93,6.16,5.69,6.51,6.74,7.28,7.365,7.54,8.17,,,,13.0,19.0,24.0,19.0,19.0,15.0,9.5,18.0,9.0,,,,,,,,,,
1,85.0,85.0,80.0,75.0,76.0,,45.0,,,,,,5.87,4.76,6.35,3.87,2.75,,,,,,,,17.0,20.0,22.0,15.0,22.0,,,,,,,,True,,Bị cảnh cáo vì ĐTB học kỳ,,,,
0,77.0,59.0,80.0,84.0,64.0,71.0,80.0,85.0,,,,,5.71,6.14,7.11,6.99,7.195,7.35,7.38,7.23,,,,,24.0,25.0,25.0,18.0,12.0,19.0,15.0,6.0,,,,,,,,,,,
0,80.0,75.0,80.0,69.0,70.0,68.0,60.0,65.0,,,,,5.76,5.84,8.035,6.98,7.32,8.02,6.01,7.11,,,,,17.0,22.0,11.5,24.0,24.0,24.0,13.0,11.0,,,,,,,,,,,
0,68.0,80.0,75.0,61.0,67.0,74.0,80.0,75.0,,70.0,50.0,,4.68,5.08,7.35,6.64,7.1,6.89,7.625,7.08,,,,,17.0,19.0,16.0,19.0,19.0,17.0,13.5,22.0,,,,,,,,,,,
0,80.0,90.0,95.0,95.0,100.0,100.0,,,,,,,8.95,9.13,8.12,8.24,9.24,9.16,,,,,,,17.0,23.0,23.0,22.0,20.0,18.0,,,,,,,True,,,,,,
1,87.0,61.0,,,,,,,,,,,1.91,1.41,,,,,,,,,,,16.0,17.0,,,,,,,,,,,True,,,,,,
0,100.0,100.0,93.0,88.0,81.0,72.0,76.0,74.0,,,,,7.89,6.66,7.64,8.18,7.39,7.73,8.02,8.28,,,,,22.0,19.0,22.0,20.0,14.0,18.0,15.0,11.0,,,,,,,,,,,
1,87.0,84.0,100.0,73.0,87.0,71.0,69.0,75.0,,,,,6.11,4.58,6.38,6.3,6.66,7.48,7.885,6.87,,,,,22.0,18.0,20.0,23.0,19.0,19.0,10.5,20.0,,,,,,,,,,,
0,87.0,91.0,91.0,100.0,100.0,80.0,90.0,,,,,,8.66,8.27,7.61,7.62,8.4,8.4,8.06,,,,,,17.0,21.0,24.0,18.0,18.0,16.0,17.0,,,,,,,,,,,,
0,66.0,74.0,83.0,73.0,86.0,85.0,88.0,85.0,,,,,6.61,4.57,8.905000000000001,7.36,7.095000000000001,7.44,7.95,8.32,,,,,17.0,19.0,12.5,20.0,14.0,17.0,22.0,15.0,,,,,True,,,,,,
0,89.0,100.0,85.0,100.0,100.0,86.0,85.0,77.0,,,,,6.78,7.23,7.46,7.28,8.14,8.26,8.73,8.54,,,,,18.0,22.0,26.0,21.0,15.0,13.0,15.0,14.0,,,,,,,,,,,
1,80.0,80.0,,,,,,,,,,,7.5,7.8,,,,,,,,,,,20.0,16.0,,,,,,,,,,,True,,,,,,
0,61.0,46.0,41.0,67.0,81.0,58.0,46.0,38.0,,,,,5.48,5.87,6.6,6.16,6.79,6.85,6.4,4.71,,,,,22.0,19.0,26.0,22.0,18.0,16.0,12.0,18.0,,,,,,,,,,,
0,93.0,73.0,83.0,71.0,75.0,67.0,62.0,70.0,,70.0,,,5.68,5.98,6.41,6.21,6.925,6.76,5.795,7.84,,,,,22.0,21.0,12.5,20.0,9.0,20.0,11.5,17.0,,,,,,,,,,,
0,93.0,57.0,76.0,65.0,71.0,72.0,64.0,61.0,,70.0,55.0,,6.28,3.8,5.63,6.04,7.24,7.4,7.029999999999999,7.61,,,,,18.0,15.0,26.0,25.0,21.0,23.0,9.5,14.0,,,,,,,,,,,
0,88.0,80.0,92.0,86.0,64.0,51.0,,,,,,,7.97,7.74,8.15,7.57,7.69,6.93,,,,,,,17.0,24.0,22.0,25.0,28.0,16.0,,,,,,,,,,,,,
1,63.0,52.0,80.0,75.0,75.0,80.0,72.0,,45.0,,,,4.12,3.03,5.08,6.41,5.53,6.88,5.8,,,,,,15.0,15.0,23.0,19.0,18.0,23.0,23.0,,,,,,True,Bị cảnh cáo vì ĐTB học kỳ,,,,,
0,94.0,87.0,73.0,93.0,85.0,90.0,90.0,95.0,,,,,7.25,6.38,7.11,7.08,7.36,7.66,8.18,6.37,,,,,19.0,19.0,15.0,25.0,22.0,22.0,20.0,7.0,,,,,,,,,,,
0,83.0,84.0,61.0,73.0,87.0,75.0,60.0,64.0,,,,,5.48,6.47,6.575,7.17,5.79,6.72,6.66,5.57,,,,,22.0,19.0,13.5,22.0,19.0,19.0,16.0,14.0,,,,,,,,,,,
1,100.0,92.0,91.0,74.0,84.0,66.0,60.0,,71.0,65.0,55.0,65.0,6.02,5.58,6.82,5.31,7.78,6.7,6.2,,,,,,22.0,19.0,28.0,23.0,24.0,20.0,16.0,,,,,,,,,,,,
0,92.0,87.0,75.0,85.0,100.0,90.0,85.0,,90.0,58.0,53.0,,8.05,6.99,7.82,6.86,8.42,8.08,8.57,,,,,,15.0,19.0,22.0,23.0,21.0,20.0,15.0,,,,,,,,,,,,
1,75.0,64.0,79.0,56.0,35.0,54.0,65.0,57.0,76.0,70.0,60.0,,5.34,4.74,4.25,3.26,6.359999999999999,3.72,2.9250000000000003,3.84,5.154999999999999,4.2,3.72,,22.0,19.0,16.0,23.0,12.5,21.0,14.5,20.0,17.5,3.0,10.0,,,,,,,,
0,74.0,69.0,80.0,71.0,64.0,73.0,80.0,75.0,,,,,6.65,4.06,6.85,7.45,7.92,7.58,7.28,8.35,,,,,17.0,20.0,23.0,21.0,20.0,21.0,18.0,11.0,,,,,,,,,,,
1,73.0,73.0,76.0,74.0,62.0,58.0,,,,,,,6.37,5.38,6.25,5.55,5.1,1.05,,,,,,,20.0,20.0,19.0,15.0,13.0,15.0,,,,,,,True,,,,,,
0,96.0,100.0,100.0,100.0,100.0,94.0,80.0,88.0,,,,,6.91,6.61,7.55,7.45,8.25,7.98,8.33,8.31,,,,,22.0,22.0,20.0,19.0,16.0,17.0,17.0,16.0,,,,,,,,,,,
0,85.0,81.0,83.0,100.0,100.0,85.0,90.0,80.0,,,,,8.27,7.95,8.09,7.46,7.44,7.24,7.7,8.2,,,,,17.0,21.0,22.0,20.0,20.0,19.0,14.0,13.0,,,,,,,,,,,
1,68.0,68.0,68.0,,,,,,,,,,3.91,2.84,2.62,,,,,,,,,,19.0,20.0,19.0,,,,,,,,,,True,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,96.0,82.0,91.0,82.0,78.0,48.0,52.0,60.0,71.0,70.0,60.0,,5.2,4.47,2.51,2.47,5.305,3.73,6.470000000000001,4.36,3.1849999999999996,0.8,,,22.0,18.0,16.0,18.0,12.0,16.0,14.0,23.0,10.5,20.0,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,,
1,51.0,45.0,,49.0,,,,,,,,,4.38,0.25,,,,,,,,,,,16.0,16.0,,,,,,,,,,,False,,Bị cảnh cáo vì ĐTB và trễ học phí,,,,
0,69.0,64.0,71.0,90.0,80.0,85.0,65.0,,,,,,8.65,6.68,8.0,7.11,7.64,8.18,7.31,,,,,,13.0,18.0,23.0,21.0,20.0,21.0,14.0,,,,,,,,,,,,
0,100.0,100.0,100.0,100.0,100.0,81.0,86.0,88.0,,,,,9.15,8.57,8.43,8.55,7.87,7.85,8.69,8.07,,,,,17.0,26.0,27.0,19.0,23.0,15.0,17.0,14.0,,,,,,,,,,,
0,71.0,64.0,56.0,76.0,78.0,69.0,58.0,67.0,,,,,6.16,5.81,7.645,7.15,8.105,8.03,8.184999999999999,7.77,,,,,19.0,13.0,12.0,17.0,10.0,15.0,7.0,13.0,,,,,,,,,,,
0,66.0,66.0,75.0,75.0,80.0,85.0,94.0,,,,,,7.68,6.43,7.1,7.45,7.41,8.25,7.87,,,,,,17.0,21.0,18.0,22.0,22.0,23.0,20.0,,,,,,True,,,,,,
0,90.0,100.0,100.0,95.0,100.0,100.0,,,,,,,8.15,8.29,8.0,9.15,8.86,9.74,,,,,,,15.0,19.0,21.0,22.0,20.0,14.0,,,,,,,,,,,,,
0,82.0,86.0,83.0,88.0,89.0,69.0,76.0,,,,,,5.75,7.07,7.49,8.68,8.17,8.69,7.96,,,,,,22.0,15.0,16.5,17.0,18.0,19.0,19.0,,,,,,,,,,,,
1,100.0,91.0,93.0,86.0,60.0,37.0,,,,,,,7.09,5.86,6.4,6.49,4.69,1.54,,,,,,,22.0,21.0,21.0,20.0,18.0,19.0,,,,,,,,,,,,,
1,70.0,74.0,78.0,68.0,62.0,74.0,76.0,,68.0,75.0,50.0,50.0,5.85,6.88,7.0,6.77,6.8,6.59,6.79,,,,,,17.0,21.0,22.0,24.0,20.0,19.0,17.0,,,,,,,,,,,,
0,64.0,63.0,80.0,80.0,90.0,95.0,74.0,,,,,,8.01,7.14,7.05,7.0,8.21,7.37,8.235,,,,,,17.0,17.0,22.0,22.0,18.0,18.0,10.5,,,,,,True,,,,,,
1,77.0,68.0,36.0,,46.0,,,,,,,,6.98,5.94,5.83,,,,,,,,,,19.0,21.0,15.0,,,,,,,,,,,,Bị cảnh cáo vì ĐTB học kỳ,,,,
1,70.0,67.0,99.0,85.0,92.0,81.0,76.0,,71.0,70.0,60.0,70.0,6.39,5.61,7.654999999999999,7.52,8.48,8.08,8.94,,,,,,18.0,19.0,13.5,23.0,19.0,16.0,14.0,,,,,,,,,,,,
0,92.0,71.0,44.0,75.0,80.0,80.0,76.0,80.0,,,,,7.72,6.98,7.96,7.97,7.94,7.41,7.88,8.1,,,,,17.0,18.0,18.0,21.0,22.0,16.0,17.0,5.0,,,,,,,,,,,
0,60.0,75.0,86.0,85.0,76.0,80.0,100.0,,,,,,7.58,7.59,8.28,8.11,7.87,8.51,9.17,,,,,,17.0,19.0,23.0,18.0,19.0,18.0,17.0,,,,,,True,,,,,,
1,44.0,44.0,,,,,,,,,,,5.41,1.71,,,,,,,,,,,13.0,17.0,,,,,,,,,,,,,,,,,
0,98.0,100.0,100.0,100.0,100.0,100.0,86.0,,,,,,6.61,8.55,8.23,8.56,9.26,9.33,9.47,,,,,,22.0,19.0,24.0,19.0,20.0,16.0,15.0,,,,,,,,,,,,
0,59.0,65.0,91.0,92.0,81.0,82.0,70.0,76.0,,58.0,,,5.08,5.07,6.02,6.62,6.51,6.55,7.05,6.28,,,,,18.0,15.0,23.0,21.0,26.0,22.0,24.0,16.0,,,,,,,,,,,
1,83.0,46.0,27.0,63.0,56.0,25.0,28.0,65.0,64.0,75.0,54.0,,6.42,4.36,6.77,5.62,4.575,2.44,5.15,5.64,6.995,7.09,5.69,,13.0,21.0,23.0,22.0,17.5,22.0,19.0,24.0,12.5,19.0,15.0,,,Bị cảnh cáo vì đóng học phí trễ,Bị cảnh cáo vì ĐTB học kỳ,,,,
0,88.0,79.0,81.0,84.0,91.0,77.0,68.0,,,,,,6.48,7.67,7.65,6.96,7.43,7.88,8.195,,,,,,22.0,21.0,22.0,22.0,18.0,14.0,9.0,,,,,,,,,,,,
0,93.0,81.0,68.0,73.0,85.0,75.0,90.0,85.0,,,,,8.09,7.04,7.4,7.35,8.0,7.49,8.12,7.63,,,,,19.0,24.0,20.0,21.0,18.0,19.0,17.0,7.0,,,,,,,,,,,
0,67.0,67.0,88.0,61.0,62.0,66.0,76.0,85.0,,,,,6.44,5.33,7.63,7.06,6.72,6.71,7.46,7.46,,,,,17.0,24.0,23.0,27.0,20.0,21.0,18.0,14.0,,,,,,,,,,,
0,85.0,78.0,71.0,85.0,90.0,90.0,90.0,90.0,,,,,5.86,6.53,7.35,6.64,8.44,7.07,8.115,7.93,,,,,9.0,17.0,15.5,19.0,16.0,17.0,10.0,7.0,,,,,,,,,,,
0,79.0,75.0,72.0,86.0,80.0,75.0,76.0,75.0,,50.0,53.0,,7.78,5.11,7.32,6.99,8.27,7.03,8.14,8.03,,,,,13.0,20.0,26.0,19.0,8.5,21.0,23.0,12.0,,,,,,,,,,,
0,65.0,86.0,85.0,80.0,99.0,94.0,78.0,,,,,,6.16,7.93,8.19,7.93,8.88,9.15,8.65,,,,,,22.0,22.0,20.0,16.0,20.0,16.0,15.0,,,,,,,,,,,,
1,58.0,70.0,80.0,70.0,71.0,70.0,,,,,,,4.95,5.44,5.52,4.15,4.24,2.33,,,,,,,13.0,17.0,13.5,22.0,16.0,16.0,,,,,,,False,,,,,,
0,80.0,85.0,90.0,90.0,95.0,100.0,100.0,,,,,,8.05,8.19,8.75,7.89,8.61,8.28,8.5,,,,,,17.0,21.0,21.0,19.0,17.0,19.0,10.5,,,,,,True,,,,,,
1,73.0,58.0,,,,,,,,,,,3.74,1.27,,,,,,,,,,,18.0,6.0,,,,,,,,,,,True,,,,,,
1,82.0,58.0,73.0,63.0,70.0,60.0,,,,,,,4.48,2.96,7.825,2.46,0.6,1.73,,,,,,,13.0,26.0,14.5,24.0,3.5,12.0,,,,,,,False,Bị cảnh cáo vì ĐTB học kỳ,Bị cảnh cáo vì ĐTB học kỳ,,,,
0,79.0,68.0,91.0,76.0,74.0,73.0,80.0,75.0,,,,,7.53,7.47,8.0,7.83,8.49,8.39,8.55,7.87,,,,,17.0,21.0,26.0,19.0,17.0,14.0,14.0,11.0,,,,,,,,,,,
0,91.0,93.0,100.0,93.0,72.0,90.0,90.0,75.0,,70.0,,,6.04,5.85,7.61,8.16,7.21,7.26,7.13,7.97,,,,,13.0,15.0,23.0,18.0,16.0,22.0,18.0,14.0,,,,,,,,,,,
0,66.0,70.0,80.0,80.0,76.0,80.0,90.0,,,,,,6.98,7.18,7.99,7.55,7.99,6.28,7.84,,,,,,17.0,21.0,21.0,20.0,21.0,16.0,20.0,,,,,,True,,,,,,
0,73.0,79.0,76.0,74.0,62.0,75.0,76.0,75.0,,70.0,50.0,50.0,7.03,7.12,7.66,7.47,7.06,7.58,7.36,8.15,,,,,17.0,21.0,22.0,20.0,18.0,17.0,17.0,14.0,,,,,,,,,,,
0,98.0,82.0,100.0,97.0,99.0,92.0,86.0,53.0,,70.0,55.0,,6.93,7.39,8.04,8.66,7.81,7.93,8.08,7.8,,,,,22.0,18.0,25.0,18.0,14.0,19.0,18.0,5.0,,,,,,,,,,,
0,71.0,48.0,91.0,68.0,66.0,72.0,81.0,,60.0,,,,5.88,5.28,6.2,5.51,6.42,6.72,6.93,,,,,,17.0,19.0,24.0,21.0,16.0,24.0,9.5,,,,,,,,,,,,
