mssv,hocky,namhoc,dtbhk,sotchk,namkhoahoc,hk
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,2,1,5.66,19,2016,2
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,2,5.64,24,2016,3
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,2,2,6.33,22,2016,4
B9D83D4DXPvAibaEXe+dVXFbWVwKlRXwqeODjYBu,1,3,4.58,15,2016,5
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1,1,7.38,17,2016,1
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,2,1,5.17,19,2016,2
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1,2,6.63,22,2016,3
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,2,2,6.69,22,2016,4
3A8C2FB6XPvAibaEXe+dVXFbWVwKlRWzplOaZLu9,1,3,5.83,15,2016,5
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1,1,8.32,17,2016,1
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,2,1,5.82,19,2016,2
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1,2,4.83,24,2016,3
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,2,2,3.45,23,2016,4
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,3,2,0.0,4,2016,5
C34CB14FXPvAibaEXe+dVXFbWVwKlYf2u7qop3EE,1,3,5.19,20,2016,5
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,1,5.78,17,2016,1
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,2,1,6.16,19,2016,2
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,2,7.97,24,2016,3
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,2,2,7.74,20,2016,4
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,3,2,8.53,7,2016,5
59AF4D97XPvAibaEXe+dVXFbWVwKlZexJ6XyF4JF,1,3,7.3,21,2016,5
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,1,7.31,12,2016,1
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,2,1,7.47,13,2016,2
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,3,1,7.63,6,2016,3
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,2,7.79,23,2016,3
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,2,2,8.06,20,2016,4
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1,3,8.1,17,2016,5
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1,1,7.21,17,2016,1
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,2,1,6.24,21,2016,2
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1,2,7.7,23,2016,3
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,2,2,5.65,22,2016,4
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1,3,5.8,22,2016,5
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1,1,8.12,17,2016,1
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,2,1,7.95,21,2016,2
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1,2,8.28,21,2016,3
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,2,2,8.32,20,2016,4
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1,3,7.68,18,2016,5
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,1,8.3,19,2016,1
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,2,1,7.67,15,2016,2
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,2,8.57,21,2016,3
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,2,2,7.58,17,2016,4
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1,3,7.09,17,2016,5
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,1,1,5.95,19,2016,1
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,2,1,4.89,18,2016,2
152920E2XPvAibaEXe8SRUt3BATKgareMyi/MAyS,1,1,4.75,19,2016,1
152920E2XPvAibaEXe8SRUt3BATKgareMyi/MAyS,2,1,0.0,0,2016,2
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1,1,7.79,17,2016,1
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,2,1,7.14,17,2016,2
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1,2,7.95,21,2016,3
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,2,2,7.33,20,2016,4
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1,3,7.02,18,2016,5
C525BEB8XPvAibaEXe8SnnwrtS3HXFn8EPKpfV2M,1,1,0.0,7,2016,1
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,1,7.71,17,2016,1
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,2,1,5.0,19,2016,2
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,2,8.16,24,2016,3
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,2,2,7.24,21,2016,4
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1,3,7.43,18,2016,5
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1,1,7.49,17,2016,1
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,2,1,6.17,19,2016,2
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1,2,6.27,24,2016,3
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,2,2,7.45,24,2016,4
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1,3,7.47,24,2016,5
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1,1,7.61,17,2016,1
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,2,1,5.69,21,2016,2
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1,2,5.67,22,2016,3
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,2,2,5.78,21,2016,4
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1,3,3.13,19,2016,5
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,1,1,3.75,19,2016,1
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,2,1,0.46,19,2016,2
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,1,2,4.6,22,2016,3
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,2,2,0.28,13,2016,4
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1,1,6.99,17,2016,1
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,2,1,6.99,15,2016,2
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1,2,6.92,22,2016,3
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,2,2,7.41,24,2016,4
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1,3,7.78,16,2016,5
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1,1,7.31,17,2016,1
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,2,1,5.86,19,2016,2
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1,2,8.18,22,2016,3
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,2,2,8.25,23,2016,4
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1,3,7.74,17,2016,5
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1,1,5.79,15,2016,1
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,2,1,6.07,15,2016,2
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,3,1,5.8,4,2016,3
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1,2,6.05,23,2016,3
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,2,2,6.52,24,2016,4
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1,3,5.86,20,2016,5
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,1,8.62,13,2016,1
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,2,1,8.24,17,2016,2
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,2,7.81,24,2016,3
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,2,2,8.19,21,2016,4
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1,3,7.5,22,2016,5
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,1,7.06,17,2016,1
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,2,1,6.78,21,2016,2
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,2,7.41,24,2016,3
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,2,2,7.25,20,2016,4
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1,3,6.46,17,2016,5
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1,1,7.02,19,2016,1
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,2,1,5.17,15,2016,2
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1,2,5.91,24,2016,3
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,2,2,5.51,18,2016,4
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1,3,4.91,16,2016,5
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,1,7.74,19,2016,1
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,2,1,7.86,21,2016,2
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,2,8.3,20,2016,3
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,2,2,7.75,19,2016,4
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1,3,9.11,15,2016,5
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1,1,4.74,19,2016,1
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,2,1,0.81,11,2016,2
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,3,1,5.13,7,2016,3
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1,2,4.94,18,2016,3
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,2,2,4.77,23,2016,4
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1,3,0.45,23,2016,5
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1,1,8.04,17,2016,1
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,2,1,7.23,21,2016,2
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1,2,8.14,24,2016,3
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,2,2,7.72,22,2016,4
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1,3,7.96,18,2016,5
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,1,1,6.12,19,2016,1
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,2,1,5.83,15,2016,2
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,1,2,7.13,24,2016,3
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,2,2,7.55,17,2016,4
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,1,3,5.44,14,2016,5
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,1,6.95,13,2016,1
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,2,1,7.61,17,2016,2
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,3,1,8.0,3,2016,3
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,2,7.7,23,2016,3
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,2,2,8.03,20,2016,4
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1,3,7.2,16,2016,5
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,1,1,5.64,19,2016,1
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,2,1,6.02,17,2016,2
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,1,2,6.61,24,2016,3
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,2,2,7.27,19,2016,4
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,1,3,7.62,18,2016,5
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,1,1,6.95,15,2016,1
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,2,1,6.0,15,2016,2
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,1,2,8.08,24,2016,3
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,2,2,7.28,23,2016,4
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,1,3,8.31,15,2016,5
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,1,8.14,17,2016,1
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,2,1,7.46,19,2016,2
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,2,7.47,22,2016,3
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,2,2,7.09,23,2016,4
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1,3,6.95,17,2016,5
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1,1,7.72,17,2016,1
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,2,1,7.26,19,2016,2
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1,2,6.54,22,2016,3
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,2,2,7.03,21,2016,4
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1,3,7.5,18,2016,5
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1,1,6.54,17,2016,1
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,2,1,3.56,21,2016,2
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1,2,2.77,15,2016,3
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,2,2,3.86,15,2016,4
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1,3,4.07,18,2016,5
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,1,8.73,15,2016,1
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,2,1,7.89,17,2016,2
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,2,8.53,20,2016,3
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,2,2,7.86,19,2016,4
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1,3,8.83,15,2016,5
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,1,6.42,15,2016,1
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,2,1,6.32,17,2016,2
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,2,6.68,20,2016,3
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,2,2,6.69,17,2016,4
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1,3,7.1,12,2016,5
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,1,1,6.91,19,2016,1
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,2,1,4.73,19,2016,2
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,1,2,3.24,24,2016,3
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,2,2,6.06,17,2016,4
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,1,3,3.25,22,2016,5
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,1,1,4.52,13,2016,1
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,2,1,1.43,15,2016,2
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,1,2,3.36,23,2016,3
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,2,2,2.53,20,2016,4
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,1,3,0.0,4,2016,5
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1,1,7.81,15,2016,1
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,2,1,7.28,15,2016,2
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1,2,7.04,21,2016,3
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,2,2,5.61,24,2016,4
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1,3,4.36,20,2016,5
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1,1,7.92,13,2016,1
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,2,1,6.52,15,2016,2
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1,2,6.78,23,2016,3
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,2,2,7.29,19,2016,4
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1,3,6.41,17,2016,5
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1,1,6.13,17,2016,1
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,2,1,5.6,16,2016,2
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,3,1,8.0,3,2016,3
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1,2,5.05,24,2016,3
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,2,2,6.77,18,2016,4
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,3,2,5.0,4,2016,5
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1,3,7.44,22,2016,5
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1,1,5.27,19,2016,1
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,2,1,3.05,15,2016,2
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1,2,5.74,19,2016,3
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,2,2,6.41,23,2016,4
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,3,2,6.5,8,2016,5
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1,3,4.54,19,2016,5
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1,1,5.71,17,2016,1
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,2,1,1.35,16,2016,2
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,3,1,8.0,3,2016,3
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1,2,4.37,18,2016,3
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,2,2,5.38,20,2016,4
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1,3,6.42,19,2016,5
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,1,1,3.94,17,2016,1
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,2,1,0.05,17,2016,2
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,1,2,0.37,19,2016,3
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,1,7.64,19,2016,1
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,2,1,6.87,19,2016,2
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,2,8.11,21,2016,3
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,2,2,7.82,17,2016,4
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1,3,7.59,17,2016,5
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1,1,5.62,13,2016,1
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,2,1,1.19,11,2016,2
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1,2,2.47,21,2016,3
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,2,2,3.8,13,2016,4
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1,3,1.0,16,2016,5
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,1,5.48,19,2016,1
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,2,1,6.14,21,2016,2
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,3,1,7.29,7,2016,3
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,2,5.41,19,2016,3
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,2,2,6.34,17,2016,4
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1,3,6.31,20,2016,5
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1,1,7.01,17,2016,1
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,2,1,6.8,21,2016,2
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1,2,7.91,20,2016,3
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,2,2,7.18,20,2016,4
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1,3,9.15,17,2016,5
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1,1,6.11,17,2016,1
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,2,1,5.12,20,2016,2
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1,2,7.04,23,2016,3
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,2,2,6.63,23,2016,4
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1,3,2.33,19,2016,5
E3B61324XPvAibaEXe+E43ovk5Cnp3VN23jDQPXu,1,1,1.08,13,2016,1
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,1,1,6.08,17,2016,1
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,2,1,5.56,19,2016,2
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,1,2,6.65,24,2016,3
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,2,2,6.39,17,2016,4
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,3,2,8.1,4,2016,5
